g1	g0	g2	g3	g6	g4	g9	g5	g7	g8	g12	g11	g14	g13	g15	g10	g19	g18	g17	g16	g20
Gelse-mpi.v2.1-MPIG000110	0.47448826882634	0.907903064030876	0.827719438837056	0.676182082964692	0.842570519921546	0.294950316908992	0.302003310457692	0.671663340312001	0.48039117021354	0.957044457107689	0.421699981942005	0.811320375842724	0.478441335585985	0.79177723165681	0.348048569509476	0.397592211273205	0.212028631395281	0.434895645253959	0.488865171132595	0.454315739983293	0
Gelse-mpi.v2.1-MPIG000120	0.134232463776181	0.250980523914641	0.0821602117256748	0.159660308237453	0.198607109275105	0.295616089764974	0.198630826495589	0.122500230151585	0.066444986435496	0.158698506051107	0.176231063328776	0.358661480443	0.170374906165471	0.306773694082432	0.265484430153344	0.126028670176054	0	0	0.332877086982491	0.15329825951952	0
Gelse-mpi.v2.1-MPIG000130	0.139951989129044	0.142821918226565	0.243371437205607	0.119583281900096	0.118959795250001	0.339395444834159	0.113833492334851	0.219836659961197	0.103029409873045	0.256672922310428	0	0.166997450839336	0.419243694455	0	0.204897487663131	0.169107390988139	0.574725430075992	0	0.411083172578107	0.31619125076923	0.293984793256337
Gelse-mpi.v2.1-MPIG000140	0.552449406065719	0.728388167669263	0.739763034836794	0.666566683568536	0.557617847636757	0.572641463097987	0.829025495258512	0.622683691159926	0.66905179584386	0.696102565267766	0.741140864202123	0.752215975024269	1.11967231918254	0.445324270645754	1.00064830472109	0.73201249066714	0	0.826667445700712	0.473747359682181	0.400915159668167	0.348282186206288
Gelse-mpi.v2.1-MPIG000150	1.27326952285336	0.808182864824204	0.831329073547974	0.825199010877257	0.69640299129485	1.15004988563883	1.12919831018707	1.04634718913854	1.22256835086763	0.815493198945277	1.1750756131425	0.936494363566342	0.910103765382663	0.971290653153158	1.04651354546598	1.19263545487656	1.12751238501222	0.983499393962464	0.474170603147151	1.01033678991126	2.00151332925602
Gelse-mpi.v2.1-MPIG000160	0.683604698500539	0.775779504818742	0.654506258382018	0.666367059726525	0.726553038807046	0.892563511072881	0.969149196531177	0.785821987975954	0.833773703355494	0.580796822426919	0.599416588269332	0.600565559664514	0.600228165862094	0.425678955662357	0.544033003387197	0.745117089189981	0.480489145824631	0.834517285764886	0.46454320233207	0.925830621527857	1.24951498294642
Gelse-mpi.v2.1-MPIG000170	0.332926405061772	0.351227363771279	0.337061281464021	0.33735389946404	0.517558075154875	0.43668193539967	0.513773587606684	0.194927705645619	0.273249641983468	0.234521437867885	0.57808996306924	0.5671029564373	0.305956672593115	0.602454415106132	0.640273833708072	0.42332108108953	0.526003375481366	0.397814261567696	0.475472856146714	0.62311759526136	0.297669477263381
Gelse-mpi.v2.1-MPIG000180	0.495061052411461	0.698720840186854	0.908500206679256	0.819551120024366	0.569925062846519	0.781868913583117	2.2790472072625	5.22386661399058	0.391457311433425	0.544429866484092	1.47234244594546	0.7450816621791	1.71071204883776	0.480501930492248	0.433828847042835	1.31752168949397	0.873179435574199	0	0.671183980660868	0.692028245063654	3.98288580032411
Gelse-mpi.v2.1-MPIG000190	0.327389130978409	1.09680766199158	1.25474319212785	1.08162084823528	0.883500542625253	0.486241499317163	0.740594241045444	1.8443295633857	0.298356429604848	1.19907694826169	0.651725251275795	0.896765499323051	0.58622748761168	0.543298062254461	0.0756298179963781	1.37182898621656	0.343259118096055	0	0.932780295017328	0.250253423745636	0.867115829030105
Gelse-mpi.v2.1-MPIG000200	0.140835761916548	0.391490465080629	0.54586004514224	0.333248905660374	0.399603016964088	0.103735230497457	0.272781886056838	1.03631809098302	0.0593770307029535	0.523265334107505	0.074516149028686	0.167630144428434	0	0.404775018855438	0	0.390492700174445	0	0.084546896484962	0.197673330787623	0.193289484637816	0.293984793256337
